model,dataset,mode,rows,cols,iterations,avg_time_per_iter_sec,total_time_sec,path
original,dha,speed,307,64,500,0.06064605188369751,30.323025941848755,experiments/artifacts/logs/original/dha/speed_r307_c64_20251206T005818Z.json
original,dha,speed,307,20,50,0.029995341300964356,1.4997670650482178,experiments/artifacts/logs/original/dha/speed_test.json
original,dha,speed,307,20,200,0.0313329541683197,6.26659083366394,experiments/artifacts/logs/original/dha/speed_r307_c20_200.json
original,synthetic,speed,1000,10,500,0.03035289764404297,15.176448822021484,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T002033Z.json
original,synthetic,speed,1000,10,500,0.030216092109680175,15.108046054840088,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T001827Z.json
original,synthetic,speed,1000,50,500,0.10443908786773681,52.21954393386841,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T002049Z.json
original,synthetic,speed,1000,10,200,0.03668147087097168,7.336294174194336,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T000637Z.json
original,synthetic,speed,1000,10,200,0.03676648497581482,7.353296995162964,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T001413Z.json
original,synthetic,speed,1000,50,500,0.10499831819534301,52.49915909767151,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T001843Z.json
original,synthetic,speed,1000,50,200,0.10464293003082276,20.92858600616455,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T000841Z.json
original,synthetic,speed,1000,10,200,0.03706462502479553,7.4129250049591064,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T000833Z.json
original,synthetic,speed,1000,50,200,0.1047525954246521,20.95051908493042,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T000644Z.json
original,synthetic,speed,1000,10,500,0.03008275604248047,15.041378021240234,experiments/artifacts/logs/original/synthetic/speed_r1000_c10_20251206T005434Z.json
original,synthetic,speed,1000,50,200,0.10538206934928894,21.076413869857788,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T001421Z.json
original,synthetic,speed,1000,50,500,0.10413076210021972,52.06538105010986,experiments/artifacts/logs/original/synthetic/speed_r1000_c50_20251206T005451Z.json
original,adult,speed,10000,15,500,0.7555660719871521,377.78303599357605,experiments/artifacts/logs/original/adult/speed_r10000_c15_20251206T010055Z.json
original,adult,speed,1000,15,500,0.05309707975387573,26.548539876937866,experiments/artifacts/logs/original/adult/speed_r1000_c15_20251206T010028Z.json
original,adult,speed,10000,15,500,0.7503253798484802,375.1626899242401,experiments/artifacts/logs/original/adult/speed_r50000_c15_20251206T010714Z.json
original,adult,speed,100,15,500,0.00496397590637207,2.481987953186035,experiments/artifacts/logs/original/adult/speed_r100_c15_20251206T010025Z.json
genjax,dha,speed,307,20,50,0.2577649200999997,12.888246004999985,experiments/artifacts/logs/genjax_cpu/dha/speed_test.json
genjax,dha,speed,307,20,200,0.07547956628500004,15.095913257000007,experiments/artifacts/logs/genjax_cpu/dha/speed_r307_c20_200.json
genjax,dha,speed,307,64,500,0.044854199854000056,22.42709992700003,experiments/artifacts/logs/genjax_cpu/dha/speed_r307_c64_20251206T005849Z.json
genjax,synthetic,speed,1000,50,200,0.07321257274000004,14.642514548000008,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c50_20251206T000921Z.json
genjax,synthetic,speed,1000,10,200,0.051237252524999805,10.24745050499996,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c10_20251206T000902Z.json
genjax,synthetic,speed,1000,10,500,0.022009496760000018,11.00474838000001,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c10_20251206T005543Z.json
genjax,synthetic,speed,1000,50,500,0.031905249266000024,15.952624633000013,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c50_20251206T005603Z.json
genjax,synthetic,speed,1000,10,200,0.05119038251999996,10.238076503999991,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c10_20251206T001443Z.json
genjax,synthetic,speed,1000,50,500,0.03179367009599991,15.896835047999957,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c50_20251206T002200Z.json
genjax,synthetic,speed,1000,10,500,0.021783529261999775,10.891764630999887,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c10_20251206T002142Z.json
genjax,synthetic,speed,1000,50,200,0.07238651398999991,14.477302797999982,experiments/artifacts/logs/genjax_cpu/synthetic/speed_r1000_c50_20251206T001501Z.json
genjax,adult,speed,1000,15,500,0.03596643693199985,17.983218465999926,experiments/artifacts/logs/genjax_cpu/adult/speed_r1000_c15_20251206T011355Z.json
genjax,adult,speed,100,15,500,0.030552524432000155,15.276262216000077,experiments/artifacts/logs/genjax_cpu/adult/speed_r100_c15_20251206T011329Z.json
genjax,adult,speed,10000,15,500,0.06699390819600012,33.49695409800006,experiments/artifacts/logs/genjax_cpu/adult/speed_r10000_c15_20251206T011422Z.json
genjax,adult,speed,10000,15,500,0.06638781027999995,33.19390513999997,experiments/artifacts/logs/genjax_cpu/adult/speed_r50000_c15_20251206T011506Z.json